Age,skoda octavia,vw golf,vw passat,bmw 3,bmw 5,ford mondeo,ford focus,volvo v40,volvo v60
0,555000,510000,867000,1138610,1724250,698999,392690,499000,729000
1,479800,399542,723600,919600,998999,619500,429490,507450,785000
2,417230,407650,590000,783656,999945,537000,335568,414499,699499
3,319220,300000,329995,567000,809999,293000,232399,383999,449461
4,279900,269495,314999,469494,690000,270000,215995,329990,299000
5,219000,219000,288500,449000,543950,249450,198300,289900,299000
6,199900,202000,269900,279900,524000,224900,169000,,324450
7,182000,186000,189000,242000,471995,178000,144900,,
8,174950,165000,175000,235000,269000,169999,120975,,
9,150000,150000,155545,212499,239000,149900,115000,,
10,134945,129900,139900,187450,222450,100000,88888,,
11,121000,119850,129000,178000,189000,71500,76000,,
12,105950,108500,109945,159500,162449,69000,68000,,
13,89000,99850,79899,86000,164000,59900,52700,52500,
14,79000,74000,77900,85000,139000,49999,45000,44500,
15,74800,65900,69000,87999,77499,44950,40500,64945,
16,61500,55000,64900,79000,77500,39900,35950,53900,
17,49850,52000,51950,75000,40000,25000,36000,37000,
18,39950,48950,43000,64950,59000,29000,29000,33000,
19,36750,47499,39900,48500,48000,16000,18000,27000,
20,34999,19949,35000,28900,49900,19000,,,
21,,14999,23500,34950,46000,,,,
22,,19950,,34900,,,,,
23,,22499,,29900,,,,,
24,,39450,,39900,,,,,
25,,19000,,,,,,,
26,,6000,29000,,79000,,,,
27,,71500,,,,,,,
28,,150000,,,,,,,
29,,,,,,,,,
